,Rating,Review Words
452,1,grooming
453,1,years
454,1,worse
455,1,come
456,1,informed
457,1,groomer
458,1,couple
459,1,hours
460,1,later
461,1,owner
462,1,chris
463,1,instructed
464,1,ahead
465,1,cat's
466,1,grooming
467,1,means
468,1,cats
469,1,left
470,1,small
471,1,carriers
472,1,hours
473,1,reason
474,1,addition
475,1,stress
476,1,ownerstore
477,1,bothered
478,1,let
479,1,know
480,1,contact
481,1,information
482,1,that's
483,1,animal
484,1,abuse
485,1,period
486,1,luckily
487,1,able
488,1,cats
489,1,home
490,1,safely
491,1,groomed
492,1,afternoon
493,1,service
494,1,went
495,1,unnecessary
496,1,ordeal
497,1,animal
498,1,kingdom's
499,1,pettiness
500,1,total
501,1,disregard
502,1,animal
503,1,wellbeing
504,1,appalling
505,1,business
506,1,practice
507,1,customer
508,1,care
509,1,recommended
510,1,care
511,1,pets
512,5,extremely
513,5,happy
514,5,grooming
515,5,services
516,5,dog
517,5,years
518,5,looking
519,5,trying
520,5,different
521,5,shops
522,5,found
523,5,staff
524,5,knowledgeable
525,5,kind
526,5,helpful
527,5,highly
528,5,recommended
529,5,pet
530,5,needs
531,5,pup
532,5,loves
533,5,place
534,5,like
535,5,family
536,5,grateful
537,5,care
538,5,love
539,5,furry
540,5,friend
541,5,nice
542,5,dog
543,5,kind
544,5,handful
545,5,comes
546,5,grooming
547,5,great
548,5,job
549,5,patient
550,5,gentle
551,5,caring
552,5,reasonable
553,5,definitely
554,5,recommend
555,5,ps
556,5,anna
557,5,amazing
558,5,job
559,5,took
560,5,senior
561,5,16
562,5,kitty
563,5,grooming
564,5,session
565,5,legs
566,5,belly
567,5,rear
568,5,end
569,5,getting
570,5,bit
571,5,matted
572,5,stiff
573,5,groom
574,5,picked
575,5,beautiful
576,5,white
577,5,fur
578,5,looked
579,5,better
580,5,annie
581,5,trimmed
582,5,belly
583,5,legs
584,5,rear
585,5,end
586,5,trimmed
587,5,claws
588,5,gave
589,5,bath
590,5,cleaned
591,5,ears
592,5,gave
593,5,adorable
594,5,bandana
595,5,days
596,5,later
597,5,cant
598,5,stop
599,5,saying
600,5,gorgeous
601,5,looks
602,5,extremely
603,5,pleased
604,5,definitely
605,5,cat
606,5,looks
607,5,years
608,5,younger
609,5,looks
610,5,handsome
611,1,live
612,1,door
613,1,concerned
614,1,treatment
615,1,animals
616,1,bark
617,1,entire
618,1,day
619,1,left
620,1,outside
621,1,night
622,1,barking
623,1,4am
624,1,certain
625,1,ordinary
626,1,citizen
627,1,dog
628,1,taken
629,5,karen
630,5,taylor
631,5,scored
632,5,four-
633,5,wheel
634,5,drive
635,5,muscled
636,5,hellion
637,5,rhodesian
638,5,mix
639,5,oak
640,5,tree
641,5,man
642,5,dawg
643,5,trail
644,5,running
645,5,came
646,5,friend
647,5,wanted
648,5,adopt
649,5,specific
650,5,dog
651,5,saw
652,5,online
653,5,shelter
654,5,staff
655,5,extremely
656,5,helpful
657,5,knowledgeable
658,5,staff
659,5,willing
660,5,match
661,5,right
662,5,dog
663,5,right
664,5,forever
665,5,home
666,5,friend
667,5,adopted
668,5,different
669,5,dog
670,5,young
671,5,husky
672,5,mix
673,5,dogs
674,5,saw
675,5,clean
676,5,groomed
677,5,shelter
678,5,super
679,5,clean
680,5,tidy
681,5,weekend
682,5,volunteers
683,5,polite
684,5,professional
685,5,years
686,5,ago
687,5,adopted
688,5,beloved
689,5,albee
690,5,young
691,5,samoyed
692,5,came
693,5,shelter
694,5,they're
695,5,open
696,5,walk
697,5,service
698,5,people
699,5,work
700,5,extremely
701,5,helpful
702,5,considerate
703,5,kind
704,5,-
705,5,easier
706,5,registering
707,5,dog
708,5,online
709,5,brought
710,5,necessary
711,5,paperwork
712,5,copied
713,5,entered
714,5,system
715,5,wrote
716,5,check
717,5,walked
718,5,pup
719,5,properly
720,5,registered
721,5,tagged
722,5,adoptable
723,5,animals
724,5,treat
725,5,tour
726,1,don't
727,1,animal
728,1,think
729,1,care
730,1,said
731,1,absolutely
732,1,help
733,1,animals
734,1,medicine
735,1,vet
736,1,solution
737,1,animals
738,1,come
739,1,don't
740,1,better
741,1,5
742,1,pm
743,1,close
744,1,euthanize
745,1,animals
746,1,that's
747,1,thing
748,1,said
749,1,workers
750,1,place
751,1,don't
752,1,believe
753,1,check
754,1,talk
755,1,took
756,1,squirrel
757,1,sick
758,1,fall
759,1,mistake
760,1,bringing
761,1,took
762,1,told
763,1,guess
764,1,animals
765,1,oh
766,1,way
767,1,person
768,1,charge
769,1,seeing
770,1,animals
771,1,jennifer
772,1,policewoman
773,1,instructions
774,1,care
775,1,animals
776,5,horrified
777,5,dog
778,5,blood
779,5,urine
780,5,saturday
781,5,morning
782,5,took
783,5,afternoon
784,5,took
785,5,needed
786,5,tests
787,5,sent
788,5,home
789,5,needed
790,5,medication
791,5,waiting
792,5,test
793,5,results
794,5,action
795,5,swift
796,5,kind
797,5,dog
798,5,easy
799,5,dog
800,5,handle
801,5,he's
802,5,getting
803,5,poked
804,5,prodded
805,5,took
806,5,burden
807,5,hands
808,5,vet
809,5,techs
810,5,deserve
811,5,medal
812,2,good
813,2,doctors
814,2,visit
815,2,final
816,2,straw
817,2,doctors
818,2,completely
819,2,missed
820,2,double
821,2,ear
822,2,infection
823,2,visit
824,2,come
825,2,got
826,2,charged
827,2,visits
828,2,doctor
829,2,failed
830,2,address
831,2,root
832,2,cause
833,2,dogs
834,2,pain
835,2,visit
836,2,scammy
837,2,friendly
838,2,people
839,2,color
840,2,better
841,2,options
842,5,family
843,5,taking
844,5,pets
845,5,years
846,5,dr
847,5,george
848,5,beloved
849,5,home
850,5,ive
851,5,felt
852,5,pressured
853,5,unnecessary
854,5,treatment
855,5,kind
856,5,thorough
857,5,care
858,5,animals
859,5,received
860,5,consistently
861,5,great
862,2,friendly
863,2,staff
864,2,doctors
865,2,friendly
866,2,super
867,2,expensive
868,2,good
869,2,results
870,2,trying
871,2,find
872,2,treatment
873,2,dog
874,2,incorrect
875,2,diagnosis
876,2,realized
877,2,dog
878,2,cushings
879,2,disease
880,2,medicated
881,2,dog
882,2,causing
883,2,addisonian
884,2,condition
885,2,dog
886,2,monthly
887,2,expensive
888,2,shots
889,2,results
890,2,aren't
891,2,i'm
892,2,specialist
893,2,losing
894,2,confidence
895,2,clinic
896,2,routine
897,2,stuff
898,2,i'd
899,2,look
900,2,spend
901,2,thousands
902,2,dollars
903,2,vet
904,2,help
905,2,dog
906,1,recommend
907,1,highly
908,1,rec
909,1,reading
910,1,yelp
911,1,reviews
912,1,place
913,1,deciding
914,1,recommended
915,1,prescription
916,1,food
917,1,pup's
918,1,vomiting
919,1,reality
920,1,roundworms
921,1,medication
922,1,gave
923,1,roundworms
924,1,information
925,1,passed
926,1,potential
927,1,effects
928,1,resulted
929,1,throwing
930,1,5
931,1,times
932,1,hour
933,1,trip
934,1,er
935,1,pup
936,1,17
937,1,weeks
938,1,old
939,1,lack
940,1,care
941,1,pets
942,1,organization
943,1,information
944,1,provided
945,1,overall
946,1,service
947,1,awful
948,1,pet
949,1,simply
950,1,care
951,1,wellbeing
952,1,details
953,1,experience
954,1,brought
955,1,pup
956,1,new
957,1,client
958,1,appt
959,1,shes
960,1,17
961,1,weeks
962,1,old
963,1,major
964,1,concern
965,1,throwing
966,1,past
967,1,week
968,1,vet
969,1,saw
970,1,dr
971,1,odonnell
972,1,didnt
973,1,concerned
974,1,wrote
975,1,likely
976,1,puppy
977,1,tried
978,1,prescription
979,1,food
980,1,likely
981,1,sensitive
982,1,stomach
983,1,honestly
984,1,appalled
985,1,17
986,1,weeks
987,1,little
988,1,information
989,1,diagnosis
990,1,vomiting
991,1,doctor
992,1,try
993,1,force
994,1,prescription
995,1,food
996,1,requested
997,1,fecal
998,1,examination
999,1,worried
1000,1,parasites
1001,1,giardia
1002,1,dr
1003,1,odonnell
1004,1,didnt
1005,1,think
1006,1,come
1007,1,turns
1008,1,roundworms
1009,1,necessarily
1010,1,sensitive
1011,1,stomach
1012,1,needs
1013,1,prescription
1014,1,food
1015,1,surprise
1016,1,surprise
1017,1,different
1018,1,vet
1019,1,dr
1020,1,hillebrand
1021,1,called
1022,1,roundworm
1023,1,diagnosis
1024,1,provided
1025,1,little
1026,1,information
1027,1,roundworms
1028,1,pick
1029,1,medication
1030,1,level
1031,1,infestation
1032,1,contagious
1033,1,socialize
1034,1,long
1035,1,term
1036,1,impacts
1037,1,potential
1038,1,effects
1039,1,prescribed
1040,1,medication
1041,1,questions
1042,1,research
1043,1,better
1044,1,understand
1045,1,communicated
1046,1,simple
1047,1,diagnosis
1048,1,gave
1049,1,pup
1050,1,medication
1051,1,roundworms
1052,1,short
1053,1,3
1054,1,hours
1055,1,later
1056,1,vomited
1057,1,5
1058,1,times
1059,1,span
1060,1,1
1061,1,hour
1062,1,pretty
1063,1,4
1064,1,days
1065,1,vomiting
1066,1,previously
1067,1,took
1068,1,emergency
1069,1,vet
1070,1,worried
1071,1,vomiting
1072,1,going
1073,1,information
1074,1,passed
